"hero","mini1","mini2","mini3","mini4","mini5","classes","sum","deck_cost","is_available","score"
"natureborn","archer","battle healer","wizard","villager","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,16.2
"grand warden","archer","battle healer","wizard","villager","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,14.7
"sheld maiden","archer","battle healer","wizard","villager","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.5
"natureborn","archer","battle healer","wizard","villager","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,21,FALSE,16.2
"grand warden","archer","battle healer","wizard","villager","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,21,FALSE,14.7
"natureborn","archer","battle healer","wizard","hog rider","healing ranger","clan4,mage2,ranger2,saint2",10,19,TRUE,15.8
"grand warden","archer","battle healer","wizard","hog rider","healing ranger","clan4,mage2,ranger2,saint2",10,19,TRUE,14.3
"natureborn","archer","battle healer","wizard","hog rider","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,16.2
"natureborn","archer","battle healer","wizard","hog rider","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,21,FALSE,16.2
"natureborn","archer","battle healer","wizard","valkyrie","healing ranger","clan4,mage2,ranger2,saint2",10,19,TRUE,14.6
"grand warden","archer","battle healer","wizard","valkyrie","healing ranger","clan4,mage2,ranger2,saint2",10,19,TRUE,13.1
"natureborn","archer","battle healer","wizard","valkyrie","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,15
"natureborn","archer","battle healer","wizard","valkyrie","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,21,FALSE,15
"natureborn","archer","battle healer","wizard","dart golbin","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,16.4
"barbarian king","archer","battle healer","wizard","healing ranger","ice wizard","clan4,mage2,ranger2,saint2",10,18,TRUE,12.7
"natureborn","archer","battle healer","wizard","healing ranger","PEKKA","clan2,mage2,ranger2,saint2,specialist2",10,20,TRUE,14.6
"natureborn","archer","battle healer","wizard","healing ranger","幻术大师","clan2,mage2,ranger2,saint2,specialist2",10,18,FALSE,16
"natureborn","archer","battle healer","wizard","healing ranger","giant","clan4,mage2,ranger2,saint2",10,20,TRUE,14.7
"grand warden","archer","battle healer","wizard","healing ranger","giant","clan4,mage2,ranger2,saint2",10,20,TRUE,13.2
"skeleton king","archer","battle healer","wizard","healing ranger","witch","clan4,ranger2,saint2,undead2",10,19,TRUE,14.6
"natureborn","archer","battle healer","wizard","healing ranger","witch","clan4,mage2,ranger2,saint2",10,19,TRUE,16.2
"grand warden","archer","battle healer","wizard","healing ranger","witch","clan4,mage2,ranger2,saint2",10,19,TRUE,14.7
"barbarian king","archer","battle healer","wizard","healing ranger","electro wizard","clan4,mage2,ranger2,saint2",10,20,FALSE,12.8
"natureborn","archer","battle healer","wizard","healing ranger","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,16.4
"barbarian king","archer","battle healer","wizard","healing ranger","风暴法师","clan4,mage2,ranger2,saint2",10,19,FALSE,12.9
"barbarian king","archer","battle healer","wizard","healing ranger","狱塔护法","clan4,mage2,ranger2,saint2",10,21,FALSE,12.9
"natureborn","archer","battle healer","wizard","healing ranger","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,16.4
"natureborn","archer","battle healer","wizard","healing ranger","扫地小僧","clan2,mage2,ranger2,saint2,specialist2",10,19,FALSE,14.8
"natureborn","archer","battle healer","wizard","幻术大师","magic archer","clan2,mage2,ranger2,rogue2,specialist2",10,19,FALSE,16.2
"natureborn","archer","battle healer","wizard","giant","战斗拳手","clan4,mage2,saint2,specialist2",10,22,FALSE,15.1
"natureborn","archer","battle healer","wizard","giant","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,22,FALSE,15.1
"natureborn","archer","battle healer","wizard","witch","战斗拳手","clan4,mage2,saint2,specialist2",10,21,FALSE,16.6
"natureborn","archer","battle healer","wizard","witch","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,21,FALSE,16.6
"natureborn","archer","battle healer","wizard","magic archer","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,22,FALSE,16.6
"natureborn","archer","battle healer","wizard","公主","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,23,FALSE,16.8
"barbarian king","archer","battle healer","wizard","战斗拳手","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,23,FALSE,14.9
"natureborn","archer","battle healer","wizard","战斗拳手","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,23,FALSE,16.8
"grand warden","archer","battle healer","wizard","战斗拳手","飞斧屠夫","clan2,mage2,ranger2,saint2,specialist2",10,23,FALSE,15.3
"sheld maiden","archer","battle healer","musketeer","giant skeleton","皇家幽灵","clan2,ranger2,royal2,saint2,undead2",10,20,FALSE,13.2
"barbarian king","archer","battle healer","musketeer","villager","战斗拳手","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.3
"royal champion","archer","battle healer","musketeer","villager","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,21,FALSE,14.6
"barbarian king","archer","battle healer","musketeer","hog rider","prince","clan4,ranger2,rider2,royal2",10,20,TRUE,13.9
"sheld maiden","archer","battle healer","musketeer","hog rider","prince","clan2,ranger2,rider2,royal2,saint2",10,20,TRUE,14.1
"barbarian king","archer","battle healer","musketeer","hog rider","dark prince","clan4,ranger2,rider2,royal2",10,20,FALSE,14.1
"sheld maiden","archer","battle healer","musketeer","hog rider","dark prince","clan2,ranger2,rider2,royal2,saint2",10,20,FALSE,14.3
"archer queen","archer","battle healer","musketeer","prince","healing ranger","clan2,ranger4,royal2,saint2",10,20,TRUE,14.2
"sheld maiden","archer","battle healer","musketeer","prince","dark prince","clan2,ranger2,rider2,royal2,saint2",10,21,FALSE,14.5
"royal champion","archer","battle healer","musketeer","prince","dark prince","clan2,ranger2,rider2,royal4",10,21,FALSE,14.6
"wave master","archer","battle healer","musketeer","prince","sailor","clan2,ranger2,rider2,royal2,sea2",10,20,FALSE,14.5
"sheld maiden","archer","battle healer","musketeer","prince","sailor","clan2,ranger2,rider2,royal2,saint2",10,20,FALSE,14.5
"natureborn","archer","battle healer","musketeer","prince","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,16.4
"monk","archer","battle healer","musketeer","prince","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,14.9
"战争机器","archer","battle healer","musketeer","prince","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,15
"royal champion","archer","battle healer","musketeer","dart golbin","healing ranger","clan2,ranger4,royal2,saint2",10,19,TRUE,14.399999999999999
"sheld maiden","archer","battle healer","musketeer","dart golbin","公主","clan2,ranger4,royal2,saint2",10,21,FALSE,14.7
"archer queen","archer","battle healer","musketeer","healing ranger","mega knight","clan2,ranger4,royal2,saint2",10,20,TRUE,12.9
"countess","archer","battle healer","musketeer","healing ranger","magic archer","clan2,ranger4,rogue2,saint2",10,20,FALSE,14.4
"royal champion","archer","battle healer","musketeer","healing ranger","magic archer","clan2,ranger4,royal2,saint2",10,20,TRUE,14.6
"archer queen","archer","battle healer","musketeer","healing ranger","dark prince","clan2,ranger4,royal2,saint2",10,20,FALSE,14.4
"archer queen","archer","battle healer","musketeer","healing ranger","皇家幽灵","clan2,ranger4,royal2,saint2",10,20,FALSE,14.6
"skeleton king","archer","battle healer","musketeer","healing ranger","皇家幽灵","clan2,ranger2,royal2,saint2,undead2",10,20,FALSE,14.8
"barbarian king","archer","battle healer","musketeer","healing ranger","公主","clan2,ranger4,royal2,saint2",10,21,FALSE,14.5
"archer queen","archer","battle healer","musketeer","healing ranger","公主","clan2,ranger4,royal2,saint2",10,21,FALSE,14.6
"sheld maiden","archer","battle healer","musketeer","healing ranger","公主","clan2,ranger4,royal2,saint2",10,21,FALSE,14.7
"royal champion","archer","battle healer","musketeer","healing ranger","公主","clan2,ranger4,royal2,saint2",10,21,FALSE,14.8
"royal champion","archer","battle healer","musketeer","healing ranger","飞斧屠夫","clan2,ranger4,royal2,saint2",10,21,FALSE,14.8
"natureborn","archer","battle healer","musketeer","healing ranger","飞斧屠夫","clan2,ranger4,saint2,specialist2",10,21,FALSE,16.4
"monk","archer","battle healer","musketeer","healing ranger","飞斧屠夫","clan2,ranger4,saint2,specialist2",10,21,FALSE,14.9
"战争机器","archer","battle healer","musketeer","healing ranger","飞斧屠夫","clan2,ranger4,saint2,specialist2",10,21,FALSE,15
"natureborn","archer","battle healer","musketeer","ice wizard","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,20,FALSE,15
"royal champion","archer","battle healer","musketeer","PEKKA","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,13.4
"countess","archer","battle healer","musketeer","幻术大师","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,20,FALSE,14.6
"royal champion","archer","battle healer","musketeer","幻术大师","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,20,FALSE,14.8
"sheld maiden","archer","battle healer","musketeer","骨犬","皇家幽灵","clan2,ranger2,royal2,saint2,undead2",10,20,FALSE,13.3
"barbarian king","archer","battle healer","musketeer","witch","皇家幽灵","clan4,ranger2,royal2,undead2",10,20,FALSE,14.7
"sheld maiden","archer","battle healer","musketeer","witch","皇家幽灵","clan2,ranger2,royal2,saint2,undead2",10,20,FALSE,14.9
"natureborn","archer","battle healer","musketeer","mega knight","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,15.1
"monk","archer","battle healer","musketeer","mega knight","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,13.6
"战争机器","archer","battle healer","musketeer","mega knight","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,13.7
"countess","archer","battle healer","musketeer","magic archer","公主","clan2,ranger4,rogue2,royal2",10,22,FALSE,14.8
"sheld maiden","archer","battle healer","musketeer","magic archer","公主","clan2,ranger4,royal2,saint2",10,22,FALSE,14.9
"natureborn","archer","battle healer","musketeer","electro wizard","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,22,FALSE,15.1
"wave master","archer","battle healer","musketeer","dark prince","sailor","clan2,ranger2,rider2,royal2,sea2",10,20,FALSE,14.7
"sheld maiden","archer","battle healer","musketeer","dark prince","sailor","clan2,ranger2,rider2,royal2,saint2",10,20,FALSE,14.7
"natureborn","archer","battle healer","musketeer","dark prince","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,16.6
"monk","archer","battle healer","musketeer","dark prince","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,15.1
"战争机器","archer","battle healer","musketeer","dark prince","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,15.2
"skeleton king","archer","battle healer","musketeer","皇家幽灵","战斗拳手","clan2,ranger2,royal2,saint2,undead2",10,22,FALSE,15.2
"natureborn","archer","battle healer","musketeer","皇家幽灵","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,16.8
"monk","archer","battle healer","musketeer","皇家幽灵","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,15.3
"战争机器","archer","battle healer","musketeer","皇家幽灵","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,22,FALSE,15.4
"archer queen","archer","battle healer","musketeer","公主","战斗拳手","clan2,ranger4,royal2,saint2",10,23,FALSE,15
"natureborn","archer","battle healer","musketeer","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,16.8
"monk","archer","battle healer","musketeer","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,15.3
"战争机器","archer","battle healer","musketeer","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,15.4
"sheld maiden","archer","battle healer","musketeer","公主","飞斧屠夫","clan2,ranger4,royal2,saint2",10,23,FALSE,15.1
"natureborn","archer","battle healer","musketeer","公主","飞斧屠夫","clan2,ranger4,royal2,specialist2",10,23,FALSE,16.8
"monk","archer","battle healer","musketeer","公主","飞斧屠夫","clan2,ranger4,royal2,specialist2",10,23,FALSE,15.3
"战争机器","archer","battle healer","musketeer","公主","飞斧屠夫","clan2,ranger4,royal2,specialist2",10,23,FALSE,15.4
"natureborn","archer","battle healer","musketeer","战斗拳手","风暴法师","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,15.2
"natureborn","archer","battle healer","musketeer","战斗拳手","狱塔护法","clan2,mage2,ranger2,saint2,specialist2",10,23,FALSE,15.2
"archer queen","archer","battle healer","musketeer","战斗拳手","飞斧屠夫","clan2,ranger4,saint2,specialist2",10,23,FALSE,15
"royal champion","archer","battle healer","musketeer","战斗拳手","飞斧屠夫","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,15.2
"royal champion","archer","battle healer","musketeer","战斗拳手","扫地小僧","clan2,ranger2,royal2,saint2,specialist2",10,21,FALSE,13.6
"barbarian king","archer","battle healer","giant skeleton","healing ranger","witch","clan4,ranger2,saint2,undead2",10,19,TRUE,13
"royal champion","archer","battle healer","giant skeleton","healing ranger","皇家幽灵","clan2,ranger2,royal2,saint2,undead2",10,20,FALSE,13.5
"sheld maiden","archer","battle healer","giant skeleton","皇家幽灵","公主","clan2,ranger2,royal2,saint2,undead2",10,22,FALSE,13.8
"skeleton king","archer","battle healer","giant skeleton","战斗拳手","飞斧屠夫","clan2,ranger2,saint2,specialist2,undead2",10,23,FALSE,13.9
"countess","archer","battle healer","swordman","healing ranger","fishman","clan2,ranger2,rogue2,saint2,sea2",10,19,FALSE,12.799999999999999
"wave master","archer","battle healer","swordman","healing ranger","幻术大师","clan2,ranger2,rogue2,saint2,sea2",10,18,FALSE,14.299999999999999
"natureborn","archer","battle healer","swordman","healing ranger","幻术大师","clan2,ranger2,rogue2,saint2,specialist2",10,18,FALSE,16
"monk","archer","battle healer","swordman","healing ranger","幻术大师","clan2,ranger2,rogue2,saint2,specialist2",10,18,FALSE,14.5
"战争机器","archer","battle healer","swordman","healing ranger","幻术大师","clan2,ranger2,rogue2,saint2,specialist2",10,18,FALSE,14.6
"archer queen","archer","battle healer","swordman","healing ranger","magic archer","clan2,ranger4,rogue2,saint2",10,20,TRUE,14.4
"wave master","archer","battle healer","swordman","healing ranger","magic archer","clan2,ranger2,rogue2,saint2,sea2",10,20,TRUE,14.5
"wave master","archer","battle healer","swordman","healing ranger","bandit","clan2,ranger2,rogue2,saint2,sea2",10,20,TRUE,13
"countess","archer","battle healer","swordman","healing ranger","sailor","clan2,ranger2,rogue2,saint2,sea2",10,19,FALSE,14.4
"countess","archer","battle healer","swordman","healing ranger","鲨网猎手","clan2,ranger2,rogue2,saint2,sea2",10,20,FALSE,13
"wave master","archer","battle healer","swordman","healing ranger","英雄猎手","clan2,ranger2,rogue2,saint2,sea2",10,19,FALSE,13.1
"sheld maiden","archer","battle healer","swordman","fishman","magic archer","clan2,ranger2,rogue2,saint2,sea2",10,20,TRUE,13.1
"archer queen","archer","battle healer","swordman","幻术大师","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,20,FALSE,14.6
"wave master","archer","battle healer","swordman","幻术大师","战斗拳手","clan2,rogue2,saint2,sea2,specialist2",10,20,FALSE,14.7
"wave master","archer","battle healer","swordman","幻术大师","飞斧屠夫","clan2,ranger2,rogue2,sea2,specialist2",10,20,FALSE,14.7
"sheld maiden","archer","battle healer","swordman","幻术大师","飞斧屠夫","clan2,ranger2,rogue2,saint2,specialist2",10,20,FALSE,14.7
"sheld maiden","archer","battle healer","swordman","magic archer","sailor","clan2,ranger2,rogue2,saint2,sea2",10,20,FALSE,14.7
"wave master","archer","battle healer","swordman","magic archer","战斗拳手","clan2,ranger2,rogue2,saint2,sea2",10,22,FALSE,14.9
"natureborn","archer","battle healer","swordman","magic archer","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,22,FALSE,16.6
"monk","archer","battle healer","swordman","magic archer","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,22,FALSE,15.1
"战争机器","archer","battle healer","swordman","magic archer","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,22,FALSE,15.2
"sheld maiden","archer","battle healer","swordman","magic archer","鲨网猎手","clan2,ranger2,rogue2,saint2,sea2",10,21,FALSE,13.3
"countess","archer","battle healer","swordman","战斗拳手","飞斧屠夫","clan2,ranger2,rogue2,saint2,specialist2",10,23,FALSE,15
"wave master","archer","battle healer","swordman","战斗拳手","飞斧屠夫","clan2,ranger2,saint2,sea2,specialist2",10,23,FALSE,15.1
"natureborn","archer","battle healer","villager","hog rider","healing ranger","clan4,ranger2,saint2,specialist2",10,19,TRUE,15.8
"monk","archer","battle healer","villager","hog rider","healing ranger","clan4,ranger2,saint2,specialist2",10,19,TRUE,14.3
"战争机器","archer","battle healer","villager","hog rider","healing ranger","clan4,ranger2,saint2,specialist2",10,19,FALSE,14.4
"archer queen","archer","battle healer","villager","hog rider","战斗拳手","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.4
"sheld maiden","archer","battle healer","villager","hog rider","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.5
"natureborn","archer","battle healer","villager","valkyrie","healing ranger","clan4,ranger2,saint2,specialist2",10,19,TRUE,14.6
"monk","archer","battle healer","villager","valkyrie","healing ranger","clan4,ranger2,saint2,specialist2",10,19,TRUE,13.1
"战争机器","archer","battle healer","villager","valkyrie","healing ranger","clan4,ranger2,saint2,specialist2",10,19,FALSE,13.2
"archer queen","archer","battle healer","villager","valkyrie","战斗拳手","clan4,ranger2,saint2,specialist2",10,21,FALSE,13.2
"sheld maiden","archer","battle healer","villager","valkyrie","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,21,FALSE,13.3
"barbarian king","archer","battle healer","villager","dart golbin","战斗拳手","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.5
"natureborn","archer","battle healer","villager","healing ranger","ice wizard","clan2,mage2,ranger2,saint2,specialist2",10,18,TRUE,14.6
"barbarian king","archer","battle healer","villager","healing ranger","PEKKA","clan4,ranger2,saint2,specialist2",10,20,TRUE,12.7
"barbarian king","archer","battle healer","villager","healing ranger","幻术大师","clan4,ranger2,saint2,specialist2",10,18,FALSE,14.1
"countess","archer","battle healer","villager","healing ranger","幻术大师","clan2,ranger2,rogue2,saint2,specialist2",10,18,FALSE,14.2
"natureborn","archer","battle healer","villager","healing ranger","giant","clan4,ranger2,saint2,specialist2",10,20,TRUE,14.7
"monk","archer","battle healer","villager","healing ranger","giant","clan4,ranger2,saint2,specialist2",10,20,TRUE,13.2
"战争机器","archer","battle healer","villager","healing ranger","giant","clan4,ranger2,saint2,specialist2",10,20,FALSE,13.3
"skeleton king","archer","battle healer","villager","healing ranger","witch","clan4,ranger2,saint2,undead2",10,19,TRUE,14.6
"natureborn","archer","battle healer","villager","healing ranger","witch","clan4,ranger2,saint2,specialist2",10,19,TRUE,16.2
"monk","archer","battle healer","villager","healing ranger","witch","clan4,ranger2,saint2,specialist2",10,19,TRUE,14.7
"战争机器","archer","battle healer","villager","healing ranger","witch","clan4,ranger2,saint2,specialist2",10,19,FALSE,14.8
"natureborn","archer","battle healer","villager","healing ranger","electro wizard","clan2,mage2,ranger2,saint2,specialist2",10,20,FALSE,14.7
"barbarian king","archer","battle healer","villager","healing ranger","战斗拳手","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.5
"sheld maiden","archer","battle healer","villager","healing ranger","战斗拳手","clan2,ranger2,saint4,specialist2",10,21,FALSE,14.7
"natureborn","archer","battle healer","villager","healing ranger","风暴法师","clan2,mage2,ranger2,saint2,specialist2",10,19,FALSE,14.8
"natureborn","archer","battle healer","villager","healing ranger","狱塔护法","clan2,mage2,ranger2,saint2,specialist2",10,21,FALSE,14.8
"barbarian king","archer","battle healer","villager","healing ranger","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.5
"archer queen","archer","battle healer","villager","healing ranger","飞斧屠夫","clan2,ranger4,saint2,specialist2",10,21,FALSE,14.6
"barbarian king","archer","battle healer","villager","healing ranger","扫地小僧","clan4,ranger2,saint2,specialist2",10,19,FALSE,12.9
"barbarian king","archer","battle healer","villager","幻术大师","magic archer","clan4,ranger2,rogue2,specialist2",10,19,FALSE,14.3
"sheld maiden","archer","battle healer","villager","幻术大师","magic archer","clan2,ranger2,rogue2,saint2,specialist2",10,19,FALSE,14.5
"archer queen","archer","battle healer","villager","giant","战斗拳手","clan4,ranger2,saint2,specialist2",10,22,FALSE,13.3
"sheld maiden","archer","battle healer","villager","giant","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,22,FALSE,13.4
"archer queen","archer","battle healer","villager","witch","战斗拳手","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.8
"skeleton king","archer","battle healer","villager","witch","战斗拳手","clan4,saint2,specialist2,undead2",10,21,FALSE,15
"sheld maiden","archer","battle healer","villager","witch","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,21,FALSE,14.9
"skeleton king","archer","battle healer","villager","witch","飞斧屠夫","clan4,ranger2,specialist2,undead2",10,21,FALSE,15
"barbarian king","archer","battle healer","villager","magic archer","战斗拳手","clan4,ranger2,saint2,specialist2",10,22,FALSE,14.7
"countess","archer","battle healer","villager","magic archer","战斗拳手","clan2,ranger2,rogue2,saint2,specialist2",10,22,FALSE,14.8
"barbarian king","archer","battle healer","villager","公主","战斗拳手","clan4,ranger2,saint2,specialist2",10,23,FALSE,14.9
"royal champion","archer","battle healer","villager","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,23,FALSE,15.2
"barbarian king","archer","battle healer","villager","战斗拳手","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,23,FALSE,14.9
"natureborn","archer","battle healer","villager","战斗拳手","飞斧屠夫","clan2,ranger2,saint2,specialist4",10,23,FALSE,16.8
"monk","archer","battle healer","villager","战斗拳手","飞斧屠夫","clan2,ranger2,saint2,specialist4",10,23,FALSE,15.3
"战争机器","archer","battle healer","villager","战斗拳手","飞斧屠夫","clan2,ranger2,saint2,specialist4",10,23,FALSE,15.4
"barbarian king","archer","battle healer","hog rider","prince","healing ranger","clan4,ranger2,rider2,saint2",10,20,TRUE,14.1
"royal champion","archer","battle healer","hog rider","prince","healing ranger","clan2,ranger2,rider2,royal2,saint2",10,20,TRUE,14.399999999999999
"barbarian king","archer","battle healer","hog rider","prince","公主","clan4,ranger2,rider2,royal2",10,22,FALSE,14.5
"sheld maiden","archer","battle healer","hog rider","prince","公主","clan2,ranger2,rider2,royal2,saint2",10,22,FALSE,14.7
"skeleton king","archer","battle healer","hog rider","healing ranger","witch","clan4,ranger2,saint2,undead2",10,19,TRUE,14.6
"barbarian king","archer","battle healer","hog rider","healing ranger","dark prince","clan4,ranger2,rider2,saint2",10,20,FALSE,14.3
"royal champion","archer","battle healer","hog rider","healing ranger","dark prince","clan2,ranger2,rider2,royal2,saint2",10,20,FALSE,14.6
"barbarian king","archer","battle healer","hog rider","healing ranger","sailor","clan4,ranger2,rider2,saint2",10,19,FALSE,14.3
"wave master","archer","battle healer","hog rider","healing ranger","sailor","clan2,ranger2,rider2,saint2,sea2",10,19,FALSE,14.5
"barbarian king","archer","battle healer","hog rider","dark prince","公主","clan4,ranger2,rider2,royal2",10,22,FALSE,14.7
"sheld maiden","archer","battle healer","hog rider","dark prince","公主","clan2,ranger2,rider2,royal2,saint2",10,22,FALSE,14.9
"barbarian king","archer","battle healer","hog rider","战斗拳手","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,23,FALSE,14.9
"skeleton king","archer","battle healer","valkyrie","healing ranger","witch","clan4,ranger2,saint2,undead2",10,19,TRUE,13.399999999999999
"barbarian king","archer","battle healer","valkyrie","战斗拳手","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,23,FALSE,13.7
"sheld maiden","archer","battle healer","prince","dart golbin","dark prince","clan2,ranger2,rider2,royal2,saint2",10,21,FALSE,14.7
"barbarian king","archer","battle healer","prince","healing ranger","dark prince","clan2,ranger2,rider2,royal2,saint2",10,21,FALSE,14.5
"archer queen","archer","battle healer","prince","healing ranger","dark prince","clan2,ranger2,rider2,royal2,saint2",10,21,FALSE,14.6
"sheld maiden","archer","battle healer","prince","healing ranger","dark prince","clan2,ranger2,rider2,royal2,saint2",10,21,FALSE,14.7
"royal champion","archer","battle healer","prince","healing ranger","dark prince","clan2,ranger2,rider2,royal2,saint2",10,21,FALSE,14.799999999999999
"wave master","archer","battle healer","prince","healing ranger","sailor","clan2,ranger2,rider2,saint2,sea2",10,20,FALSE,14.7
"royal champion","archer","battle healer","prince","healing ranger","sailor","clan2,ranger2,rider2,royal2,saint2",10,20,FALSE,14.799999999999999
"skeleton king","archer","battle healer","prince","healing ranger","皇家幽灵","clan2,ranger2,royal2,saint2,undead2",10,21,FALSE,15
"archer queen","archer","battle healer","prince","healing ranger","公主","clan2,ranger4,royal2,saint2",10,22,FALSE,14.799999999999999
"countess","archer","battle healer","prince","magic archer","dark prince","clan2,ranger2,rider2,rogue2,royal2",10,22,FALSE,14.799999999999999
"sheld maiden","archer","battle healer","prince","magic archer","dark prince","clan2,ranger2,rider2,royal2,saint2",10,22,FALSE,14.9
"sheld maiden","archer","battle healer","prince","dark prince","公主","clan2,ranger2,rider2,royal2,saint2",10,23,FALSE,15.1
"royal champion","archer","battle healer","prince","dark prince","公主","clan2,ranger2,rider2,royal4",10,23,FALSE,15.2
"archer queen","archer","battle healer","prince","dark prince","战斗拳手","clan2,ranger2,rider2,royal2,saint2",10,23,FALSE,15
"natureborn","archer","battle healer","prince","dark prince","战斗拳手","clan2,rider2,royal2,saint2,specialist2",10,23,FALSE,16.8
"monk","archer","battle healer","prince","dark prince","战斗拳手","clan2,rider2,royal2,saint2,specialist2",10,23,FALSE,15.3
"战争机器","archer","battle healer","prince","dark prince","战斗拳手","clan2,rider2,royal2,saint2,specialist2",10,23,FALSE,15.4
"sheld maiden","archer","battle healer","prince","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,saint2",10,23,FALSE,15.1
"natureborn","archer","battle healer","prince","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,23,FALSE,16.8
"monk","archer","battle healer","prince","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,23,FALSE,15.3
"战争机器","archer","battle healer","prince","dark prince","飞斧屠夫","clan2,ranger2,rider2,royal2,specialist2",10,23,FALSE,15.4
"wave master","archer","battle healer","prince","sailor","公主","clan2,ranger2,rider2,royal2,sea2",10,22,FALSE,15.1
"sheld maiden","archer","battle healer","prince","sailor","公主","clan2,ranger2,rider2,royal2,saint2",10,22,FALSE,15.1
"natureborn","archer","battle healer","prince","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,24,FALSE,17
"monk","archer","battle healer","prince","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,24,FALSE,15.5
"战争机器","archer","battle healer","prince","公主","战斗拳手","clan2,ranger2,royal2,saint2,specialist2",10,24,FALSE,15.6
"royal champion","archer","battle healer","prince","战斗拳手","飞斧屠夫","clan2,ranger2,royal2,saint2,specialist2",10,24,FALSE,15.4
"countess","archer","battle healer","dart golbin","healing ranger","magic archer","clan2,ranger4,rogue2,saint2",10,20,FALSE,14.6
"royal champion","archer","battle healer","dart golbin","healing ranger","公主","clan2,ranger4,royal2,saint2",10,21,FALSE,15
"natureborn","archer","battle healer","dart golbin","healing ranger","飞斧屠夫","clan2,ranger4,saint2,specialist2",10,21,FALSE,16.6
"monk","archer","battle healer","dart golbin","healing ranger","飞斧屠夫","clan2,ranger4,saint2,specialist2",10,21,FALSE,15.1
